m.0pz91	Adam Sandler	m.0cr3d	Brooklyn	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01p8q4	Arsenio Hall	m.01sn3	Cleveland	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.027l0b	Gene Wilder	m.0dyl9	Milwaukee	people.person.place_of_birth
m.01mxfcb	Buddy Miller	m.0yxbq	Fairborn	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.016vy9	Susan Dey	m.0sf9m	Pekin	people.person.place_of_birth
m.02bty	Dave Barry	m.0ybzd	Armonk	people.person.place_of_birth
m.015x1f	Curtis Mayfield	m.01_d4	Chicago	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.02cllz	Bill Nighy	m.0630fv	Caterham	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01s1zk	Wyclef Jean	m.0268dth	Croix-des-Bouquets	people.person.place_of_birth
m.026r8q	Matt Dillon	m.0yc84	New Rochelle	people.person.place_of_birth
m.026c5pw	Tony Brown	m.0kcw2	Greensboro	people.person.place_of_birth
m.0f61nc	Todd Lowe	m.03l2n	Houston	people.person.place_of_birth
m.01p4vl	Ashton Kutcher	m.0t0n5	Cedar Rapids	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.024_gy	Amy Lee	m.0r3wm	Riverside	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.070x08	Gail O'Grady	m.02dtg	Detroit	people.person.place_of_birth
m.04xbhp	Oskar Homolka	m.0fhp9	Vienna	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.08yx9q	Eric Dane	m.0d6lp	San Francisco	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.04y0gh	Paul Barber	m.04lh6	Liverpool	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.02v09f	Daniel Berrigan	m.0wj_0	Virginia	people.person.place_of_birth
m.06kl0k	Vidya Balan	m.044j72	Ottapalam	people.person.place_of_birth
m.03rtqd	Jamaica Kincaid	m.07411	St. John's	people.person.place_of_birth
m.05m1hj	Thomas Carter	m.0vzm	Austin	people.person.place_of_birth
m.0fthdk	Dakota Fanning	m.0ryxb	Conyers	people.person.place_of_birth
m.02rjfhl	Carlo Verdone	m.06c62	Rome	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.039xcr	Thomas Mitchell	m.0xszy	Elizabeth	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0w_l	Ani DiFranco	m.019fh	Buffalo	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0dh1n_	Mitchell Leisen	m.0vdh6	Menominee	people.person.place_of_birth
m.0cvrhq	Kate Reid	m.04jpl	London	people.person.place_of_birth
m.046fsq	Kou Shibasaki	m.01xhmq	Toshima, Tokyo	music.artist.origin,people.person.place_of_birth
m.02cpb7	Thandie Newton	m.04jpl	London	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01s9j83	Ashley Walters	m.0nbsy	Peckham	music.artist.origin,people.person.place_of_birth
m.01cwkq	Amanda Bynes	m.0r8c8	Thousand Oaks	people.person.place_of_birth
m.029xwn	Ingrid Thulin	m.02p3gd_	Sollefteå	people.person.place_of_birth
m.01mxt_	Steve Vai	m.0y240	Carle Place	people.person.place_of_birth
m.01s7zw	Bill Paxton	m.0f2s6	Fort Worth	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0126y2	Ja Rule	m.0ccvx	Queens	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01rxtkw	Ernie Watts	m.0fwc0	Norfolk	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.04rvb8	Jamel Debbouze	m.05qtj	Paris	people.person.place_of_birth
m.02ply6j	Dev Patel	m.02b7nz	Harrow, London	people.person.place_of_birth
m.03wdzys	Gisela May	m.019j3z	Wetzlar	people.person.place_of_birth
m.0pgm3	Chris Elliott	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0183dl	Ernie Wise	m.03qk93	Bramley, Leeds	people.person.place_of_birth
m.02vphc8	Eric Stonestreet	m.0tcj6	Kansas City	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.026v5l	Rene Auberjonois	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01s0l0	Salman Khan	m.01_yvy	Indore	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0137hn	Robin Gibb	m.02075l	Douglas	people.person.place_of_birth
m.015qq1	Paul Winfield	m.030qb3t	Los Angeles	people.deceased_person.place_of_death,people.person.place_of_birth
m.039j63	Lenny Breau	m.0tnj1	Auburn	people.person.place_of_birth
m.02l0xc	Don Ameche	m.02h98sm	Kenosha	people.person.place_of_birth
m.01ldgd6	Diane Schuur	m.010t4v	Tacoma	music.artist.origin,people.person.place_of_birth
m.03cw0k	Marlo Thomas	m.02dtg	Detroit	people.person.place_of_birth
m.02qfhb	Jason Schwartzman	m.030qb3t	Los Angeles	people.person.place_of_birth
m.0cmd48l	Ayşen Gruda	m.0cvk3x	Yeşilköy	people.person.place_of_birth
m.04wf_b	Dennis Haysbert	m.0r5y9	San Mateo	people.person.place_of_birth
m.036jb	Gene Kelly	m.05pxb2	Highland Park	people.person.place_of_birth
m.02fcs2	Lawrence Kasdan	m.0f2v0	Miami	people.person.place_of_birth
m.0bvzp	Leonard Bernstein	m.0tz1j	Lawrence	people.person.place_of_birth
m.01pjr7	Harold Ramis	m.01_d4	Chicago	people.person.place_of_birth
m.04jnqj	Chris Hemsworth	m.0chgzm	Melbourne	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.09cv78	Lebo M	m.0729t	Soweto	people.person.place_of_birth
m.02xgdv	Sunil Dutt	m.0571qh	Jhelum	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0jzw7v	Ted Hope	m.09c7w0	United States of America	people.person.place_of_birth,people.person.nationality
m.014pys	Rolf Harris	m.031x4x	Bassendean	people.person.place_of_birth
m.0htlr	Isabella Rossellini	m.06c62	Rome	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.018db8	Joaquin Phoenix	m.08pmnt	Río Piedras, Puerto Rico	people.person.place_of_birth
m.0bd2n4	Dan Stevens	m.02gw_w	Croydon	people.person.place_of_birth
m.0151zx	Peter Cushing	m.04c167	Kenley	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.040t74	Janel Moloney	m.0k_p5	Woodland Hills	people.person.place_of_birth
m.01h7fk	Richard Dawson	m.01xs5x	Gosport	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.09s93z	Matthieu Chedid	m.011wdm	Boulogne-Billancourt	people.person.place_of_birth
m.02cm2m	Kyle McCulloch	m.0pmpl	Regina	people.person.place_of_birth
m.06w08c	Ken Howard	m.0qzq8	El Centro	people.person.place_of_birth
m.0dvld	Kate Winslet	m.0b_yz	Reading	people.person.places_lived..people.place_lived.location,people.person.place_of_birth,people.person.spouse_s..people.marriage.location_of_ceremony
